Light_on	電気を点けるときはどうしたらいいですか。
Light_on	電気を点けるときはどうしたらいいですか。
Light_on	部屋、明るくして。
Light_on	部屋を明るくさせて。
TV_on	ビジュアルを表示してください。
Another	ニュースを教えて。
Another	明日の予定を教えて。
Another	気温は何度？
Another	この曲のタイトルは何？
Light_on	電気をオンにしてください。
TV_off	テレビをオフにしてください。
TV_on	ビデオを再生してください。
Light_on	部屋、明るく。
Air_on	エアコンを動かしてください。
Another	おすすめの本を教えてください。
Another	新しい趣味を始めたいです。何かおすすめはありますか？
Light_on	部屋の雰囲気を明るくしてください。
Air_on	エアコンを動かすようにして。
Air_on	エアコンを動かすようにしてください。
Light_off	部屋の電気を切ってください。
TV_off	テレビの電源を落としていただくようお願いします。
Light_on	部屋を明るくさせて。
TV_on	画像を表示してください。
Another	誕生日はいつ？
Another	シャットダウンして。
Light_on	電気を点けるようにしてください。
TV_off	テレビの表示を消し、電源を切ってください。
Light_on	電気を付けましょう。
TV_on	ディスプレイをオンにしてください。
Another	おやすみモードにして。
Another	最近見た面白い動画を教えてください。
Another	スマホの使い方を教えてください。
Air_on	エアコンを点けるようにしてください。
TV_off	テレビを終了してください。
TV_off	テレビを終了させて、電源をオフにしてください。
TV_on	テレビをオンにしてください。
Air_on	エアコンを冷やすためにつけて。
Light_off	部屋の照明を消してください。
TV_off	テレビを停止してください。
TV_on	視聴可能な映像を流してください。
Light_off	部屋を暗くしてくれますか？
Light_off	部屋の電源を切ってください。
Another	オフィスの温度を下げて。
Light_on	電気をつけてくれませんか？
Air_off	エアコンを止めてください。
Light_off	部屋を暗くしていただけますか？
TV_on	テレビの電源を入れてください。
Light_on	部屋を照らして。
Another	来週の天気はどうですか？
Light_off	部屋の明かりを切ってください。
Another	本日の予定を確認してください。
TV_on	リモコンでテレビをつけて。
Light_on	部屋を明るく照らして。
Air_off	エアコンの運転を止めてください。
TV_off	テレビの電源を切っていただけますか？
Light_on	電気をつけておいて。
TV_on	画面を点けてください。
Air_off	エアコンの電源を落としてください。
Light_on	部屋をライトアップして。
Light_on	電気をつけていただけますか。
Another	お財布を探して。
TV_off	テレビを消してください。
Light_on	部屋の雰囲気を明るくしてください。
Light_off	部屋の明かりを切ってくれませんか？
TV_off	映像を止めてください。
Air_on	エアコンを動かすようにしてください。
Light_on	電気をつけるときはどうすればいいですか。
Light_on	部屋を明るくしてください。
TV_off	テレビの電源を落としていただくようお願いします。
Light_off	電気をオフにして。
TV_on	リモコンでテレビをつけて。
Air_on	エアコンを操作して涼しくする。
Air_off	エアコンを停止させてください。
Light_off	部屋の明かりを消してくれますか。
Air_on	エアコンを操作して涼しくする。
Another	こんにちは、元気ですか？
Air_off	エアコンの電源を切ってください。
Air_on	エアコンをつけることはできますか。
Light_on	電気をつけてよ。
Light_off	電気を停めて。
Light_on	ちょっと明るくして。
TV_on	テレビをオンにしてください。
Another	音量を上げて。
Light_on	明るく。
Light_on	部屋の雰囲気を明るくしてください。
Another	ありがとう、またね。
Another	タイマーをセットして。
Air_off	エアコンをオフにしてください。
TV_on	テレビの電源を入れてください。
Another	スマートフォンの充電量を教えて。
Light_off	電気をシャットダウンして。
Light_off	電気を停止して。
Another	電気をつけて。
TV_on	テレビを点けて。
